biblioitemnumber,serialid,biblionumber,subscriptionid,status,planneddate,publisheddate,serialseq,copyrightdate,month,issue_within_year,issue_date_1,issue_date_2
7748,1,31512,1,2,1954-01-01,1954-01-01,"Vol. 111, No. 1",1954,1,1,Jan.- March,
7747,2,31512,1,2,1954-04-01,1954-04-01,"Vol. 111, No. 2",1954,4,2,April- June,
7746,3,31512,1,2,1954-07-01,1954-07-01,"Vol. 111, No. 3",1954,7,3,July- September,
7745,4,31512,1,2,1956-04-01,1956-04-01,"Vol. 113, No. 2",1956,4,2,April- June,
7744,5,31512,1,2,1956-07-01,1956-07-01,"Vol. 113, No. 3",1956,7,3,July-September,
22266,6,31512,1,2,1963-01-01,1963-01-01,"Vol. 120, No. 1",1963,1,1,Jan-Mar. 1963,
22265,7,31512,1,2,1963-04-01,1963-04-01,"Vol. 120, No. 2",1963,4,2,April- June 1963,
22264,8,31512,1,2,1963-07-01,1963-07-01,"Vol. 120, No. 3",1963,7,3,July-Sept. 1963,
22263,9,31512,1,2,1963-10-01,1963-10-01,"Vol. 120, No. 4",1963,10,4,Oct. - Dec. 1963,
22262,10,31512,1,2,1964-01-01,1964-01-01,"Vol. 121, No. 1",1964,1,1,Jan-Mar. 1964,
15772,11,31512,1,2,1964-04-01,1964-04-01,"Vol. 121, No. 2",1964,4,2,"Number 482, Volume 121",April - June 1964
15773,12,31512,1,2,1964-07-01,1964-07-01,"Vol. 121, No. 3",1964,7,3,"Number 483, Volume 121",July - September 1964
15774,13,31512,1,2,1964-10-01,1964-10-01,"Vol. 121, No. 4",1964,10,4,"Number 484, Volume 121",October - December 1964
7743,14,31512,1,2,1965-01-01,1965-01-01,"Vol. 122, No. 1",1965,1,1,January to March,
15775,15,31512,1,2,1965-01-01,1965-01-01,"Vol. 122, No. 1",1965,1,1,"Number 485, Volume 122",January - March 1965
7742,16,31512,1,2,1965-10-01,1965-10-01,"Vol. 122, No. 4",1965,10,4,Oct. - Dec.,
15776,17,31512,1,2,1965-10-01,1965-10-01,"Vol. 122, No. 4",1965,10,4,"Number 488, Volume 122",October - December 1965
22260,18,31512,1,2,1966-01-01,1966-01-01,"Vol. 123, No. 1",1966,1,1,Jan-Mar. 1966,
22261,19,31512,1,2,1966-04-01,1966-04-01,"Vol. 123, No. 2",1966,4,2,Apr-June. 1966,
22259,20,31512,1,2,1966-07-01,1966-07-01,"Vol. 123, No. 3",1966,7,3,July-Sept. 1966,
22258,21,31512,1,2,1966-10-01,1966-10-01,"Vol. 123, No. 4",1966,10,4,Oct.-Dec. 1966,
22254,22,31512,1,2,1967-01-01,1967-01-01,"Vol. 124, No. 1",1967,1,1,"Jan-March, 1967",
22255,23,31512,1,2,1967-04-01,1967-04-01,"Vol. 124, No. 2",1967,4,2,"Apr-June, 1967",
22256,24,31512,1,2,1967-07-01,1967-07-01,"Vol. 124, No. 3",1967,7,3,"July-Sept., 1967",
22257,25,31512,1,2,1967-10-01,1967-10-01,"Vol. 124, No. 4",1967,10,4,Dec.-Oct. 1967,
22250,26,31512,1,2,1968-01-01,1968-01-01,"Vol. 125, No. 1",1968,1,1,Jan-Mar. 1968,
22251,27,31512,1,2,1968-04-01,1968-04-01,"Vol. 125, No. 2",1968,4,2,April-June 1968,
22252,28,31512,1,2,1968-07-01,1968-07-01,"Vol. 125, No. 3",1968,7,3,July-Sept. 1968,
22253,29,31512,1,2,1968-10-01,1968-10-01,"Vol. 125, No. 4",1968,10,4,Oct-Dec. 1968,
22246,30,31512,1,2,1969-01-01,1969-01-01,"Vol. 126, No. 1",1969,1,1,Jan.-Mar. 1969,
22247,31,31512,1,2,1969-04-01,1969-04-01,"Vol. 126, No. 2",1969,4,2,April - June 1969,
22248,32,31512,1,2,1969-07-01,1969-07-01,"Vol. 126, No. 3",1969,7,3,July-Sept. 1969,
22249,33,31512,1,2,1969-10-01,1969-10-01,"Vol. 126, No. 4",1969,10,4,Oct.-Dec. 1969,
22242,34,31512,1,2,1970-01-01,1970-01-01,"Vol. 127, No. 1",1970,1,1,Jan-Mar. 1970,
22243,35,31512,1,2,1970-04-01,1970-04-01,"Vol. 127, No. 2",1970,4,2,April-June 1970,
22244,36,31512,1,2,1970-07-01,1970-07-01,"Vol. 127, No. 3",1970,7,3,July-Sept. 1970,
22245,37,31512,1,2,1970-10-01,1970-10-01,"Vol. 127, No. 4",1970,10,4,Oct. - Dec. 1970,
7741,38,31512,1,2,1971-10-01,1971-10-01,"Vol. 128, No. 4",1971,10,4,Oct. - Dec.,
7740,39,31512,1,2,1972-04-01,1972-04-01,"Vol. 129, No. 2",1972,4,2,Apr. - June,
7739,40,31512,1,2,1972-07-01,1972-07-01,"Vol. 129, No. 3",1972,7,3,July - Sept.,
7738,41,31512,1,2,1972-10-01,1972-10-01,"Vol. 129, No. 4",1972,10,4,Oct. - Dec.,
7737,42,31512,1,2,1973-01-01,1973-01-01,"Vol. 130, No. 1",1973,1,1,Jan. - March,
7736,43,31512,1,2,1973-04-01,1973-04-01,"Vol. 130, No. 2",1973,4,2,April - June,
22314,44,31512,1,2,1973-04-01,1973-04-01,"Vol. 130, No. 2",1973,4,2,Apr-June 1973,
7735,45,31512,1,2,1973-07-01,1973-07-01,"Vol. 130, No. 3",1973,7,3,July - Sept.,
22315,46,31512,1,2,1973-07-01,1973-07-01,"Vol. 130, No. 3",1973,7,3,July-Sept 1973,
7734,47,31512,1,2,1973-10-01,1973-10-01,"Vol. 130, No. 4",1973,10,4,Oct. - Dec.,
22316,48,31512,1,2,1973-10-01,1973-10-01,"Vol. 130, No. 4",1973,10,4,Oct-Dec 1973,
7733,49,31512,1,2,1974-01-01,1974-01-01,"Vol. 131, No. 1",1974,1,1,Jan. - March,
22317,50,31512,1,2,1974-01-01,1974-01-01,"Vol. 131, No. 1",1974,1,1,Jan-March 1974,
7732,51,31512,1,2,1974-04-01,1974-04-01,"Vol. 131, No. 2",1974,4,2,April - June,
22297,52,31512,1,2,1974-04-01,1974-04-01,"Vol. 131, No. 2",1974,4,2,April-June 1974,
7731,53,31512,1,2,1974-07-01,1974-07-01,"Vol. 131, No. 3",1974,7,3,July - Sept.,
22298,54,31512,1,2,1974-07-01,1974-07-01,"Vol. 131, No. 3",1974,7,3,July-Sept 1974,
7730,55,31512,1,2,1974-10-01,1974-10-01,"Vol. 131, No. 4",1974,10,4,Oct. - Dec.,
22311,56,31512,1,2,1974-10-01,1974-10-01,"Vol. 131, No. 4",1974,10,4,Oct-Dec 1974,
22313,57,31512,1,2,1975-01-01,1975-01-01,"Vol. 132, No. 1",1975,1,1,Jan-March 1975,
7728,58,31512,1,2,1975-04-01,1975-04-01,"Vol. 132, No. 2",1975,4,2,April - June,
22310,59,31512,1,2,1975-04-01,1975-04-01,"Vol. 132, No. 2",1975,4,2,Apr-June 1975,
7777,60,31512,1,2,1975-07-01,1975-07-01,"Vol. 132, No. 3",1975,7,3,July - Sept.,
22301,61,31512,1,2,1975-07-01,1975-07-01,"Vol. 132, No. 3",1975,7,3,July-Sept 1975,
7727,62,31512,1,2,1975-10-01,1975-10-01,"Vol. 132, No. 4",1975,10,4,Oct. - Dec.,
7729,63,31512,1,2,1975-10-01,1975-10-01,"Vol. 132, No. 4",1975,10,4,Jan. - March,
22302,64,31512,1,2,1975-10-01,1975-10-01,"Vol. 132, No. 4",1975,10,4,Oct-Dec 1975,
7726,65,31512,1,2,1976-01-01,1976-01-01,"Vol. 133, No. 1",1976,1,1,Jan. - Mar.,
22296,66,31512,1,2,1976-01-01,1976-01-01,"Vol. 133, No. 1",1976,1,1,Jan-March 1976,
7725,67,31512,1,2,1976-04-01,1976-04-01,"Vol. 133, No. 2",1976,4,2,April - June,
22295,68,31512,1,2,1976-04-01,1976-04-01,"Vol. 133, No. 2",1976,4,2,April-June 1976,
7724,69,31512,1,2,1976-07-01,1976-07-01,"Vol. 133, No. 3",1976,7,3,July - Sept.,
22294,70,31512,1,2,1976-07-01,1976-07-01,"Vol. 133, No. 3",1976,7,3,July-Sept 1976,
7723,71,31512,1,2,1976-10-01,1976-10-01,"Vol. 133, No. 4",1976,10,4,Oct. - Dec.,
22293,72,31512,1,2,1976-10-01,1976-10-01,"Vol. 133, No. 4",1976,10,4,Oct-Dec 1976,
7758,73,31512,1,2,1977-01-01,1977-01-01,"Vol. 134, No. 1",1977,1,1,Jan. - March,
22292,74,31512,1,2,1977-01-01,1977-01-01,"Vol. 134, No. 1",1977,1,1,Jan-Mar 1977,
